latitude,longitude,rwi,error,pm25,pm25_distance,wealth_quartile,region
5.2988268,116.1584473,0.91,0.542,13.636964,0.005151321127866208,Q4 (Richest),Sabah
5.7143797,115.916748,0.784,0.536,14.672973,0.0018539863991978462,Q4 (Richest),Sabah
4.2258996,100.7995605,0.287,0.556,19.48702,0.004650195308449823,Q3 (Upper-Mid),Central
2.84429,101.7224121,0.603,0.534,19.15499,0.002682064824274318,Q4 (Richest),Southern
5.3863356,100.4699707,1.088,0.568,23.040373,0.005150484872170568,Q4 (Richest),Central
3.0856655,101.7004395,0.893,0.499,24.354086,0.004610607783187119,Q4 (Richest),Southern
1.5049538,103.4143066,0.816,0.55,16.218403,0.0006958505952654274,Q4 (Richest),Southern
5.5613152,116.2902832,-0.24,0.488,11.682411,0.00598407092959178,Q2 (Lower-Mid),Sabah
3.8752158,102.3376465,0.116,0.553,18.262695,0.0026561962680586577,Q3 (Upper-Mid),Central
5.6925158,116.3781738,0.794,0.549,12.955448,0.004030522173595823,Q4 (Richest),Sabah
5.3207052,102.2937012,-0.197,0.52,14.10992,0.004486178461151689,Q2 (Lower-Mid),Central
5.5175751,101.8981934,0.239,0.547,15.413447,0.004105007009271803,Q3 (Upper-Mid),Northern
2.3613917,111.829834,0.196,0.536,13.090867,0.006034647249074296,Q3 (Upper-Mid),Sarawak
6.4790672,116.8835449,-0.603,0.482,13.652513,0.004320466298596962,Q1 (Poorest),Sabah
3.5682478,101.6345215,0.21,0.509,18.540346,0.003283115037292286,Q3 (Upper-Mid),Central
5.2769476,117.5866699,-0.307,0.541,12.2622385,0.0025660083437706155,Q2 (Lower-Mid),Sabah
5.0143386,118.157959,-0.755,0.555,11.335288,0.0030331798456756346,Q1 (Poorest),Sabah
5.9766803,116.1584473,0.58,0.566,13.772269,0.0038361469772166365,Q4 (Richest),Sabah
1.9002862,112.5769043,-0.122,0.49,14.156701,0.0050850399647427965,Q2 (Lower-Mid),Sarawak
3.809446,115.5212402,-0.443,0.43,16.494232,0.005823563751414479,Q1 (Poorest),Sarawak
7.2425974,116.8615723,0.134,0.441,12.773448,0.004184067877159879,Q3 (Upper-Mid),Sabah
6.5882169,100.2722168,0.101,0.483,13.804733,0.004254750098670664,Q3 (Upper-Mid),Northern
5.8892605,100.3601074,0.189,0.521,19.694628,0.0064858727925638585,Q3 (Upper-Mid),Northern
5.0362268,116.4221191,0.525,0.57,11.25904,0.0031341012099645837,Q4 (Richest),Sabah
2.6248138,102.2497559,0.18,0.531,16.09779,0.004756799118600301,Q3 (Upper-Mid),Southern
3.0198411,113.0603027,-0.09,0.502,13.158546,0.006747058826146298,Q2 (Lower-Mid),Sarawak
5.8455454,116.2902832,-0.759,0.494,14.82595,0.004746432578072157,Q1 (Poorest),Sabah
4.8392069,115.2355957,-0.237,0.509,13.270976,0.004248743148289571,Q2 (Lower-Mid),Sabah
2.4492049,102.3815918,0.199,0.518,15.539004,0.00541406858416596,Q3 (Upper-Mid),Southern
6.326218,100.2502441,0.434,0.523,18.318611,0.004906776546901553,Q4 (Richest),Northern
6.5663889,117.0373535,-0.451,0.487,12.5341835,0.0027295828213253783,Q1 (Poorest),Sabah
2.6906608,103.5681152,-0.217,0.521,14.199454,0.005340163233617685,Q2 (Lower-Mid),Southern
1.7465556,111.2805176,-0.624,0.526,11.389876,0.004748118550949487,Q1 (Poorest),Sarawak
2.7345569,102.1838379,0.454,0.525,16.388119,0.0012413914406756512,Q4 (Richest),Southern
2.7784514,101.9641113,-0.365,0.546,20.419329,0.0035629756853829504,Q2 (Lower-Mid),Southern
3.041783,112.6208496,-0.691,0.531,12.090001,0.005251228431621201,Q1 (Poorest),Sarawak
6.3698938,116.8395996,-0.029,0.45,13.101207,0.006716863986531998,Q3 (Upper-Mid),Sabah
5.1894234,103.0187988,0.522,0.492,15.190887,0.005831165646831055,Q4 (Richest),Central
5.0143386,118.5314941,-0.229,0.54,10.941345,0.0035713162229784714,Q2 (Lower-Mid),Sabah
6.2388552,100.645752,0.058,0.532,14.868646,0.003928371380800401,Q3 (Upper-Mid),Northern
6.413566,116.5100098,-0.365,0.534,13.792027,0.005191555783738815,Q2 (Lower-Mid),Sabah
5.3644596,115.6311035,0.69,0.616,10.789211,0.003935879735772353,Q4 (Richest),Sabah
1.3072596,110.4675293,-0.047,0.528,12.621829,0.00339439630151386,Q2 (Lower-Mid),Sarawak
3.3708564,101.3708496,0.094,0.577,20.192404,0.005864745614261717,Q3 (Upper-Mid),Southern
2.1198775,103.1945801,-0.114,0.503,14.090935,0.00489550539124149,Q2 (Lower-Mid),Southern
6.0859354,117.0593262,-0.506,0.442,12.148166,0.004425863511938719,Q1 (Poorest),Sabah
3.9409805,100.8435059,0.531,0.499,17.302351,0.004288569411646593,Q4 (Richest),Central
1.1534865,110.5993652,0.225,0.508,12.97634,0.004618972932498662,Q3 (Upper-Mid),Sarawak
6.5663889,100.3161621,-0.234,0.527,12.989665,0.0018093347728764793,Q2 (Lower-Mid),Northern
3.1953637,113.6096191,-0.129,0.504,12.330667,0.004630055108608677,Q2 (Lower-Mid),Sarawak
2.6687122,111.2805176,-0.34,0.414,14.114108,0.00582283996938295,Q2 (Lower-Mid),Sarawak
6.1733235,100.5578613,-0.106,0.534,15.053767,0.0033161096490580324,Q2 (Lower-Mid),Northern
6.020385,118.0480957,-0.139,0.45,11.079413,0.005558219488763484,Q2 (Lower-Mid),Sabah
6.0640861,102.052002,0.419,0.542,18.434668,0.003134509806642171,Q4 (Richest),Northern
2.3833455,102.1838379,0.342,0.538,15.296234,0.0020204323168732047,Q4 (Richest),Southern
4.7954168,114.8840332,0.608,0.515,11.152542,0.0010547492905396596,Q4 (Richest),Sabah
4.4669035,117.5646973,-0.857,0.474,14.757923,0.001927652107873132,Q1 (Poorest),Sabah
2.6467632,113.1481934,-0.957,0.498,14.657802,0.003650780244490886,Q1 (Poorest),Sarawak
5.7362428,102.2717285,0.296,0.538,15.767821,0.0035009882031289677,Q3 (Upper-Mid),Northern
4.3573658,117.9162598,-0.39,0.523,12.808739,0.0026798711737258418,Q1 (Poorest),Sabah
1.0656124,110.5554199,0.056,0.512,13.546302,0.0007423095689606359,Q3 (Upper-Mid),Sarawak
3.7217452,101.8322754,-0.234,0.511,16.77262,0.004244002751159458,Q2 (Lower-Mid),Central
2.5809138,101.854248,0.885,0.483,17.211798,0.004155467036436062,Q4 (Richest),Southern
5.1456567,103.1066895,0.056,0.528,14.812362,0.001809518826062931,Q3 (Upper-Mid),Central
4.9267785,103.1066895,0.322,0.53,14.127934,0.002450604472955024,Q3 (Upper-Mid),Central
2.602864,101.7004395,0.69,0.559,23.551939,0.005037602816305478,Q4 (Richest),Southern
4.4888091,100.8654785,-0.324,0.522,18.453299,0.003839171378621463,Q2 (Lower-Mid),Central
6.0640861,116.3122559,-0.417,0.525,12.044228,0.002894616986251049,Q1 (Poorest),Sabah
6.3698938,117.1911621,-0.518,0.565,12.630597,0.006219216408126969,Q1 (Poorest),Sabah
4.1820725,114.3127441,0.752,0.566,11.634791,0.003697299978991882,Q4 (Richest),Sabah
5.4957038,116.1804199,-0.796,0.498,11.2524805,0.00463146345565094,Q1 (Poorest),Sabah
2.3394375,103.8537598,-0.154,0.537,13.931172,0.004608416381377198,Q2 (Lower-Mid),Southern
5.2550677,117.9821777,-0.653,0.554,12.416337,0.0028237192956787885,Q1 (Poorest),Sabah
2.0320445,111.5222168,0.261,0.526,11.926399,0.0040608109809793244,Q3 (Upper-Mid),Sarawak
5.8236865,117.6306152,-0.444,0.526,14.29784,0.004579300243066136,Q1 (Poorest),Sabah
2.0100856,103.2165527,0.146,0.536,14.007343,0.005155057853083475,Q3 (Upper-Mid),Southern
5.7143797,102.623291,0.016,0.525,15.987258,0.00181814257247277,Q3 (Upper-Mid),Northern
1.5049538,103.5461426,0.659,0.525,14.162552,0.0011453630159688564,Q4 (Richest),Southern
4.9924497,116.4880371,-0.445,0.482,11.945969,0.003965314082240804,Q1 (Poorest),Sabah
5.4082108,102.052002,-0.514,0.538,15.402885,0.004392917402572951,Q1 (Poorest),Central
1.7026302,103.392334,-0.173,0.528,12.688576,0.0035645229053073105,Q2 (Lower-Mid),Southern
2.7345569,102.2277832,0.643,0.563,16.640997,0.0028197416327744042,Q4 (Richest),Southern
1.2413579,111.7419434,-0.54,0.543,12.986432,0.004756524850434632,Q1 (Poorest),Sarawak
3.5024552,101.5466309,-0.245,0.61,19.419832,0.0030236402247164006,Q2 (Lower-Mid),Central
2.3833455,113.4997559,-0.418,0.473,14.479491,0.005032872550316053,Q1 (Poorest),Sarawak
3.7436712,101.3928223,0.764,0.556,18.83985,0.002548170536937421,Q4 (Richest),Central
3.7217452,101.9421387,-0.237,0.531,18.77506,0.004333404392560528,Q2 (Lower-Mid),Central
4.8392069,101.1730957,-0.241,0.538,17.596994,0.004619055896876264,Q2 (Lower-Mid),Central
5.6487856,101.9421387,0.024,0.475,15.4530525,0.004745124145240546,Q3 (Upper-Mid),Northern
6.500899,117.2351074,-0.758,0.446,13.323346,0.004102504562644221,Q1 (Poorest),Sabah
6.4354006,100.2941895,1.189,0.561,16.340796,0.0009024808426866228,Q4 (Richest),Northern
5.8892605,102.1618652,0.286,0.541,17.894009,0.005289860288204508,Q3 (Upper-Mid),Northern
3.2611771,101.7663574,0.368,0.567,17.045317,0.004057038157610498,Q4 (Richest),Southern
3.173425,113.104248,0.573,0.52,11.747387,0.0017467223293070218,Q4 (Richest),Sarawak
5.6706511,102.5793457,-0.004,0.546,16.315454,0.006150303412937739,Q3 (Upper-Mid),Northern
5.4519589,100.7556152,-0.74,0.536,18.361052,0.0031031730791276115,Q1 (Poorest),Central
6.2606973,116.4001465,-0.491,0.486,11.094041,0.006485113163068068,Q1 (Poorest),Sabah
4.3573658,100.9973145,0.155,0.561,18.428259,0.003307736878555275,Q3 (Upper-Mid),Central
4.2916356,118.861084,0.164,0.516,12.666175,0.00516120434965779,Q3 (Upper-Mid),Sabah
4.5764249,118.3337402,-0.278,0.515,11.166421,0.0019014924975143937,Q2 (Lower-Mid),Sabah
2.6467632,111.895752,-0.669,0.509,12.879773,0.0019182037426292789,Q1 (Poorest),Sarawak
3.6340356,102.8649902,0.352,0.589,16.214434,0.0009644209138050769,Q4 (Richest),Central
2.0759616,112.0935059,-0.444,0.503,12.425461,0.0017777983187513985,Q1 (Poorest),Sarawak
3.2831139,102.0959473,0.645,0.557,16.624517,0.0021101571088136127,Q4 (Richest),Southern
6.3698938,116.3342285,-0.082,0.527,14.6415825,0.004954323276265862,Q2 (Lower-Mid),Sabah
6.1733235,100.4260254,0.395,0.545,17.919128,0.00196379422259043,Q4 (Richest),Northern
2.0100856,113.104248,-0.713,0.493,14.440366,0.004972215054710384,Q1 (Poorest),Sarawak
3.9409805,100.8874512,-0.104,0.526,17.910791,0.0047067777662156704,Q2 (Lower-Mid),Central
5.6925158,117.7844238,-0.718,0.507,14.016166,0.0025511453540995837,Q1 (Poorest),Sabah
3.4147247,113.7194824,-0.15,0.578,12.013934,0.0044944991196948485,Q2 (Lower-Mid),Sarawak
2.3833455,112.1374512,-0.156,0.486,13.881317,0.0029555459800591254,Q2 (Lower-Mid),Sarawak
1.724593,111.2145996,-0.153,0.548,11.677517,0.0005683919085442508,Q2 (Lower-Mid),Sarawak
4.6640299,118.3996582,-0.087,0.557,12.183791,0.004761421326019976,Q2 (Lower-Mid),Sabah
4.2478122,117.9602051,0.921,0.564,18.45164,0.005555634350746626,Q4 (Richest),Sabah
3.9629009,101.1291504,-0.437,0.51,19.596025,0.004650987061148695,Q1 (Poorest),Central
6.1514779,102.1618652,0.747,0.556,19.875563,0.004715864528849387,Q4 (Richest),Northern
1.6147764,110.0061035,-0.352,0.491,11.771888,0.001128619831992426,Q2 (Lower-Mid),Sarawak
2.4711573,102.9309082,0.486,0.514,15.688634,0.005611458283768726,Q4 (Richest),Southern
3.4147247,101.3049316,0.639,0.528,20.114712,0.00028370669521676214,Q4 (Richest),Southern
6.6536952,117.2570801,-0.153,0.531,14.038953,0.0024579057109971715,Q2 (Lower-Mid),Sabah
4.0944111,103.260498,-0.282,0.484,14.915387,0.004539720796350831,Q2 (Lower-Mid),Central
3.458591,103.392334,0.048,0.53,14.630379,0.004470514181611607,Q3 (Upper-Mid),Southern
1.5049538,103.4802246,0.105,0.499,13.574119,0.004776233754503701,Q3 (Upper-Mid),Southern
2.0759616,112.3352051,0.111,0.507,13.285344,0.000983374422311398,Q3 (Upper-Mid),Sarawak
4.5983271,118.3337402,-0.216,0.531,11.01098,0.0035574964056548667,Q2 (Lower-Mid),Sabah
2.5809138,101.8103027,0.176,0.547,19.32984,0.006227753325193021,Q3 (Upper-Mid),Southern
3.5463174,101.151123,-0.153,0.497,19.209768,0.004093532326076252,Q2 (Lower-Mid),Central
2.1637921,103.3044434,-0.16,0.526,14.078529,0.0013300652731402854,Q2 (Lower-Mid),Southern
4.5983271,116.8395996,-0.244,0.5,13.449254,0.0056776521272498895,Q2 (Lower-Mid),Sabah
4.3573658,100.6018066,0.118,0.508,16.891222,0.0039769554039133185,Q3 (Upper-Mid),Central
3.9629009,101.0192871,-0.645,0.539,19.232864,0.004773920877210179,Q1 (Poorest),Central
3.897138,102.3596191,-0.406,0.536,18.478071,0.0050868663844944005,Q1 (Poorest),Central
6.1296313,100.3601074,1.521,0.522,18.98039,0.00673539720959774,Q4 (Richest),Northern
1.8344033,112.2912598,-0.295,0.426,12.995914,0.003785696605287433,Q2 (Lower-Mid),Sarawak
6.020385,116.3342285,-0.204,0.504,12.080513,0.004678985539622361,Q2 (Lower-Mid),Sabah
2.5809138,102.4035645,0.024,0.519,15.913391,0.004330646521619554,Q3 (Upper-Mid),Southern
5.5613152,118.026123,0.483,0.533,13.053111,0.003851736873080386,Q4 (Richest),Sabah
1.6587038,110.1818848,-0.032,0.495,13.467029,0.004838141423819936,Q3 (Upper-Mid),Sarawak
1.7465556,103.8317871,0.015,0.528,13.233348,0.003568854266743321,Q3 (Upper-Mid),Southern
